epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.171,1.13223,1.65103,1.45007,0.44795,0.40821,0.34734,0.17578,1.95123,2.55515,2.37991,0.000553914,0.000553914,0.000553914
2,224.735,1.31696,1.62641,1.60164,0.39293,0.42359,0.37162,0.17862,1.95963,2.09239,2.36325,0.00108761,0.00108761,0.00108761
3,329.031,1.31262,1.57776,1.59146,0.58132,0.52184,0.51169,0.28349,1.5071,1.76814,2.02441,0.0015993,0.0015993,0.0015993
4,433.69,1.25895,1.50036,1.55836,0.67616,0.57551,0.62449,0.38357,1.38138,1.51407,1.85239,0.00156798,0.00156798,0.00156798
5,542.534,1.19763,1.38301,1.49833,0.66136,0.6306,0.68361,0.43854,1.28533,1.46347,1.7543,0.00153497,0.00153497,0.00153497
6,672.521,1.15567,1.31828,1.46982,0.66092,0.57421,0.63893,0.40874,1.29624,1.56218,1.72465,0.00150197,0.00150197,0.00150197
7,796.043,1.1413,1.2837,1.4566,0.72549,0.64771,0.71919,0.49676,1.1537,1.16931,1.62048,0.00146896,0.00146896,0.00146896
8,920.416,1.11745,1.25906,1.43774,0.79964,0.67351,0.74989,0.50825,1.18612,1.10872,1.64382,0.00143595,0.00143595,0.00143595
9,1042.02,1.07484,1.20939,1.41662,0.82897,0.65726,0.76238,0.52014,1.15264,1.09859,1.61357,0.00140295,0.00140295,0.00140295
10,1165.51,1.06057,1.1653,1.40471,0.80509,0.66536,0.76404,0.53911,1.07878,1.04758,1.52588,0.00136994,0.00136994,0.00136994
11,1285.63,1.03616,1.12301,1.38417,0.8105,0.68572,0.78374,0.55342,1.08342,0.98641,1.52573,0.00133693,0.00133693,0.00133693
12,1412.04,1.01027,1.08363,1.36352,0.76587,0.70633,0.77413,0.54348,1.08398,1.04569,1.51912,0.00130393,0.00130393,0.00130393
13,1531.98,1.01231,1.05739,1.36565,0.80011,0.68244,0.77667,0.55577,1.05998,0.97964,1.51452,0.00127092,0.00127092,0.00127092
14,1660.02,0.99271,1.05986,1.3476,0.74661,0.72243,0.78335,0.55321,1.04095,0.95986,1.49746,0.00123791,0.00123791,0.00123791
15,1785.02,0.98263,1.02006,1.34,0.80327,0.73172,0.81489,0.59496,1.00843,0.89629,1.44203,0.00120491,0.00120491,0.00120491
16,1903.06,0.96351,0.98612,1.32029,0.84319,0.69372,0.81538,0.602,0.99171,0.87346,1.43768,0.0011719,0.0011719,0.0011719
17,2023.14,0.95975,0.9645,1.31471,0.79148,0.71678,0.7974,0.58452,0.99367,0.92311,1.44292,0.00113889,0.00113889,0.00113889
